user,from wS/stS (S),from wOS/stS (S),Total (S),Distribution %,Compensation (S),,,
0x4ac18be4ab6b296e345e135dc1bf5c346f1dd75a,"11,016",0,"11,016",0.04%,"2,366.90",,,
0x991c4d7d1c194a6753799f788fa49218181ccffa,"10,880",0,"10,880",0.04%,"2,337.87",,,
0xbec2027dd208e21e8d25821506562aa658c0ebd0,"10,824",0,"10,824",0.04%,"2,325.67",,,
0x51867e7eb94d9ac712e47a3b1aa118d6869645d7,"10,786",0,"10,786",0.04%,"2,317.58",,,
0x3046c87d3d3ef8aee95479124c4e3b09688f3678,"10,775",0,"10,775",0.04%,"2,315.19",,,
0x6e868846b2182235c16fd122fcd44739e55a58e4,"10,754",0,"10,754",0.04%,"2,310.74",,,
0x8868a2eae35f1f53d3f8e464c060be9755c8d51c,"10,702",0,"10,702",0.04%,"2,299.44",,,
0x2067d095f4cacb434e921a2cf5b89a09dbf518a4,"10,590",0,"10,590",0.04%,"2,275.36",,,
0x0c88b23df952de10e327ae724c0641c9aaf8aeb7,"10,551",0,"10,551",0.04%,"2,267.07",,,
0x61264027755fbc92a14b7b0543246b3b36bad4ad,"10,486",0,"10,486",0.04%,"2,253.08",,,
0xb5f4af1a4b5021ae10207e1c2e119ce8249b3007,"10,474",0,"10,474",0.04%,"2,250.61",,,
0x587ce2d584d847356b9ee53454e648aa5290a08f,"10,445",0,"10,445",0.04%,"2,244.39",,,
0xb81b2c2c2dcc00ecd0a15ebbebe0dd1cffc19dbe,"10,265",0,"10,265",0.04%,"2,205.53",,,
0xbf6803837ee0f0e716cfcc20eaf091bc35221e1a,"10,264",0,"10,264",0.04%,"2,205.45",,,
0x9e22eff00a6eadd9b6819ff536f1b8dbae057258,"10,262",0,"10,262",0.04%,"2,205.00",,,
0xc00ec5064f48432de8c2b3ca01c78c8d6c1eabca,"10,226",0,"10,226",0.04%,"2,197.35",,,
0xa317e39fa28ea88416860dd01ab4710e605af456,"10,209",0,"10,209",0.04%,"2,193.66",,,
0x1daafb4fe4c766e52ccd66273e3db5d8d6db5f90,"10,195",0,"10,195",0.04%,"2,190.59",,,
0xaefcbcad09d299e7292f810a38ccb067b46e32ed,"10,154",0,"10,154",0.04%,"2,181.72",,,
0x6daf07061d47ac08bcc9247a8da79e7a5877bcfc,"10,125",0,"10,125",0.04%,"2,175.50",,,
0x7c33045858b3ca7440e79f3fccaa8ff2ec067d2f,"10,073",0,"10,073",0.04%,"2,164.38",,,
0x9ad280045b9899e2dabed802b964b44702beb333,"9,907",0,"9,907",0.04%,"2,128.70",,,
0x09778f063784a92fd9b6b213cedd51b5331e6dd8,"9,822",0,"9,822",0.04%,"2,110.50",,,
0x9e27195e5b78d80f670e6803b26e68d4ae213752,"9,761",0,"9,761",0.04%,"2,097.30",,,
0x23e3daf5b617e620e9b41f48513dc5f4ea510e55,"9,746",0,"9,746",0.04%,"2,094.04",,,
